,리뷰,평점
3069,코로나 땜에 많은 분들이 이 영화를 보지 못하는게 안타깝네요. 가능하다면 꼭 아이맥스로 보세요,10
3070,연출력이 넘 뛰어나지만 스토리가 없다는 ㅎㅎㅎ,8
3071,"친구랑 봄, 원테이크가 대단하긴 하지만...지루함영화는 잘 만들었으나 재미가 없음...기생충이 상 받을만 했음",1
3072,,10
3073,인상적인 롱테이크로써 초반부터 시선을 확 끌어당기는 작품. 스토리 자체는 매우 단순.,8
3074,롱테이크가 신선했지만 그걸로 인해 지루한 부분이 일부 지루하다 느낄 수 있고 내용은 단순함.,7
3075,음향이나 촬영같은 기술적인 부분은 완벽했고 엄청난 흡입력과 긴장감과 여운을 남기는 작품이다.,9
3076,극장이 아니라면 재미가 크게 반감될 명작,10
3077,몰입도 최고입니다. 롱테이크샷으로 대본외우는 배우분도 대단했습니다.,10
3078,정말 명작이에요 이건 꼭 보세요,10
3079,나도 전쟁 나가는 병사같았다 심장쫄려죽는줄,10
3080,평점 알바 뛰었나? 진짜 롱테이크가 맞는말인데 지루했거요 친구 4명이 봤는데 다큐멘터리 인줄 알았습니다 평점 믿지마세요,1
3081,전쟁영화치고는 잔잔한 느낌이지만 너무 좋았다 한순간도 긴장을 못 놓치고 본걸 같다,10
3082,용산 IMAX 관에서 봤는데 내가 참호속에서 주인공을 따라 다니는 느낌이 들었다. 적군과의 싸움이 아닌 시간과의 싸움이었고 두려움과 공포와의 고독한 싸움이었다. 다시한번 더 봐야겠다,10
3083,다본후에는 뻔한이야기잖아 라고 생각하지만 보는 동안에는 절대 그렇게 생각못하는 영화,9
3084,,9
3085,연출과 몰입도가 좋은 영화이긴 하지만 진부한 영화다 라이언 일병 구하기랑 다를점을 딱히 못 느끼겠다. 마블같이 액션을 좋아하는 사람이라면 반드시 피해야할 영화,9
3086,박진감이라든가 전장에서의 모습을 기대하는 사람들한태는 비추.. 실화를 바탕으로 한거라 하니 스토리를 못짰다거나 할 수는 없는데 다른 전쟁영화에 비해 많이 따분함. 그러나 영상미와 연출 음악 등등이 최고급이라 그거에만...,8
3087,넘 재밌어요 세계대전에 관심이 생길만큼!,10
3088,9점 영화는 절대 아니고 7.5에서 8점정도가 적절초반엔 원테이크기법 특유의 긴장감과 몰입도가 좋지만 중반을 넘어가면 집중도도 떨어지고 무뎌짐특히 중반부터 각본이랑 연출이 상당히 쓰잘데기 없고 의미없이 흘러감,6
3089,전쟁영화의 사실적이고 치열한 액션보다는 촬영기법이나 영상미를 좋아하고 그런 기법의  영화를 좋아하시는 분 들은 보세요  영연과 1학년 롱테이크 수업자료로 좋을듯ㅋ 수업받는느낌이 드네요 ㅋ 극장에서 5번 존거는 처음임...,6
3090,미친듯한 롱테이크의 향연. 어떻게 촬영했을까 무지 궁금함.,10
3091,가슴이 찢어지는 기분이 들었어요 속으로 제발 그만이라고 소리지르면서 봤습니다,10
3092,전쟁영화의 수작입니다,10
3093,올해 본 영화 중에 최고입니다! 아이맥스로 관람하시는 것을 추천드려요!!!!,10
3094,이 영화는 무조건 극장에서 봐야할 거 같다.,8
3095,1차 세계대전 전 전쟁에서는 적어도 명예와 기사도 정신이 있었다 하지만 그 모든건 1차세계대전에서 갈갈이 찢어져 잊혀졌다. 남은건 피와 살 오물이 튀는 전쟁의 공포와 광기에 사로잡혀 서로 찌르고 죽이는 아비규환이 되...,10
3096,한국인의 정서로 볼땐 이게 과연 좋은영화일까.. 라는 의구심을 가질수 있다고봄. 줄거리만 따져놓고 이 영화를 평가한다면 굉장히 일차원적이고 단순한 영화. 다만 그 단순한 과정을 그렇게 세밀하고 몰입감 있게 표현했다는...,8
3097,끝나고나서 다리에 힘이 풀렸어요.. 흡입력이 어마어마...,10
3098,이런영화를 영화관에서 봐야지!,10
3099,"실화를 바탕으로 한 내용이며 전쟁전 분위기를 잘 나타냈다 마지막 스콜필드가 임무를 완수하고의 장면,그리고 시체들은 정말 잘 표현한것 같다",10
3100,군대감성을 다시 이끌어주는 영화..,10
3101,영화를 예술로 승화시킨 작품,10
3102,이런 영화는 태어나서 처음봅니다.,10
3103,영화가 끝났을때 해방감. 너무 리얼하고 너무 긴장감넘친다. 어깨가 결림,10
3104,무탈하고 평화로운 나의 하루에 감사하자.,7
3105,전쟁씬 없음! 그러나 잼있음.연출 끝장남!,10
3106,이 영화의 최대 단점 : 코로나중에 한국에 개봉한 것. 많은 한국인이 이 마스터피스를 영화관에서 볼 수없다는 사실이 슬프다. 목숨걸고 보러갈만 하다.,10
3107,38년 인생영화로 등극,10
3108,"촬영, 미술, 음향의 앙상블",9
3109,죽는 줄 알았습니다. 꼭 가서 관람하라는 말은 감히 못하겠습니다만 그 누가 전쟁터에 함부로 가겠습니까?,10
3110,그와 함께 전장의 생사고락을 누빈 듯한 생생한 몰입과 여운,10
3111,,10
3112,집에오는 길에 욕밖에 안했습니다! 정말최고! 제가 영화관에서 본 영화중에 최고로 재미없었습니다! 너무 지루함 이 영화 전쟁영화아님 싸우는 장면 15초나옴,1
3113,"진짜 미드웨이 처럼 액션있고 그런 전쟁영화라고 생각하고 보지마세요,, 다큐영화입니다,,(당한 1인)",1
3114,영화는 진짜 재밌고 멋지고 다하는데멀미 심한사람은 무조건 멀미약 드시고 보세요원테이크 기법 기발하고 현실적이고 다좋은데 눈이 계속 따라가다보니 멀미 진짜 하....베그 한판만 해도 멀미나서 드러눕는 저는 영화 보는 ...,8
3115,진짜 미친영화다...,10
3116,"1917.04.06.이나 2020년의 오늘이나 같은 물리적 하루의 총량, 그것이 오늘 하루를 살아가는 나에게 큰 물결로 온다",8
3117,존나 재밌다안 본사람은  꼭 봐라 나중에 폰이나 tv로 볼때 무조건 후회함,10
3118,,10
3119,나를 영화 조디악 이후로 7년만에 영화평 10점 만점으로 남기게 만드는 작품. 영화로 타임머신 체험을 다 할 수 있게 만드는구나 라며 감탄하게 만드는 명작! 1917년 4월6일에 두시간 동안 있다 현재로 돌아오게 되...,10
3120,진짜 꼭보세요코로나때문에 백번고민하고갔는데 완전대박입니다..네번째줄 정중앙에서 앉아서 봤는데 사람도 없고 앞에 아무도없어서 정말 전쟁터에 나혼자있는 느낌..너무 좋았던 영화,10
3121,왜인지 모르겟으나 또 보고싶어진다..,10
3122,역사적 배경지식 없이 그냥 흐르는대로 보고 재미없다는 무뇌아들이 많은게 통탄스러울 지경... 왜 전선 상황이 오랫동안 교착중이다가 독일이 후퇴했는지 정도는 알고 봐야 이해가 됨..,10
3123,,8
3124,컥... 덩케르크 만큼이나 충격적임.. 주연들도최고지만 조연들도 최고네요...기대이상 여운이 가시질않습니다,10
3125,블랙호크다운 라이언일병구하기에 이은 최고의영화 어떻게 롱테이크로 찍었는지 모를정도로 멋지다,10
3126,,10
3127,"긴장감은 오히려 초반부에 넘칩니다.마지막까지 흥미도는 유지되지만, 뒤로 가면 대충 어떻게 결말 날지 느낌이 옵니다. 연출은 잘 모르고, 스토리 위주로 영화를 보는 저로서는 <기생충>이 어떻게 이 작품을 이...",8
3128,할리우드 영화의 최전선,10
3129,역대급 마라톤영화,1
3130,촬영 기법이 와~ 전쟁 속에 같이 있는 기분,10
3131,영화내내 전쟁터 한가운데 스코필트와 같이 뛰고 있었다,9
3132,전쟁터라는 곳에서는 진정한 영웅이란 없다. 영웅조차 두려움을 느끼는 한낱 인간일 뿐. 영웅은 그 두려움 속에서 조금 더 용기를 내는 자가 될 뿐이다.,10
3133,정말 몰입감이 엄청나네요 두명만 나오는 장면도 지루하지않아요,9
3134,"왜캐 평가가좋은지 이해가안되네... 볼거는 카메라구도, 영상미 뿐이고 스토리는 그저그렇고 주인공의 알수없는 행동들. 그리고 뿌리는 수많은떡밥 허나 대부분회수가 되지않고 혹시 2편이 나오려는건가했는데 나올 여지도없는 ...",4
3135,마지막 250m 전력질주 씬에서 나만 울었음?,10
3136,남자라 그런가 자꾸 각 등장인물에 감정이입이되서 더 먹먹햇음...롱테이크씬은 압권이긴 하네요,8
3137,,10
3138,전쟁의 최대 피해자는 결국 힘없는 사람들뿐. 전쟁은 권력자들의 장기놀음에 목숨을 바치는 비참한 놀이,8
3139,몰입감 높은 연출과 주인공의 연기. 개인 병사의 시선으로 바라보는 전쟁의 참상을 현실적으로 담아냈다. 심플하지만 임팩트가 큰 영화.,10
3140,덩케르크+레버넌트=1917,10
3141,"재밌네요  스토리, 영상 둘다좋았습니다",10
3142,,9
3143,,10
3144,중간에 여자랑 아기 나올 때 늦을 줄 알았다. 그나마 포기 않해서 다행.,8
3145,개인적으로 기생충보다 1917 상받았어야했다. 최근들어서 감명깊게본 영화중 하나이고 수작인건 확실하다. 주인공의 끝없는 걸음은 내 감정을 자극하기 충분했다.,10
3146,"인생영화...별점 5점, 감상포인트 5개 밖에 못 눌러줘서 미안한 영화.",10
3147,연출이 정말...대박이네요...,8
3148,박평식씨의 평점을 이해할 수가 없네...이 영화가 어떻게 7점짜리 영화냐? 개인적으론 기생충보다 몇수 위라 생각한다.,10
3149,"미친 서스펜스, 롱테이크코로나 끝나면 아이맥스 재상영 해야됨",9
3150,"일 년에 수십편의 영화를 보고, 반타작 이상 실패하지만, 그래도 극장에 찾아가는 것은 이런 명작을 놓치지 않고 극장에서 보기 위해서이다. 극장이 아닌 집에서 조그마한 티비 화면으로 보면 절대 느낄 수 없는 무언가가 ...",10
3151,닥터 스트레인지랑 킹스맨 교관이 출연하는 영화 만점 짜리 영화,10
3152,이렇게까지 될 수도 있구나...이런것까지 되는구나 내내 여운이 남는 영화였네요 그게 연출이든 연기든 뭐든지간에...내 인생 최고의 영화,10
3153,꼭 영화관에서 보세요! 너무너무 감명받았어요 여운도 길고 기분이 무겁네요 그래도 오랜만에 이런 명작을 봐서 너무 좋아요,10
3154,전쟁속에 같이 있는듯한 생생한 느낌,10
3155,아주 재밌게 봤다. 이제야 평점등록이 가능하네.,10
3156,전쟁의 고독함과 침묵을 잘 그려냈다.,8
3157,방금 보고 왔습니다. ㅠㅠ 손에 땀을 쥐고 참혹해서 맘 아프고 눈물나고 전우애에 감동하고 슬프고..화장실 가고 싶은거 참고 봤습니다 월남전 참가한 아버지가 생각나 더 눈물났습니다.,10
3158,개연성을 조금 희생한 대가로 멋을 극한까지 뽑아낸 탑급 전쟁영화. 난 전쟁영화에서 이보다 더 뛰어난 연출을 볼 수 있을 거라고 생각하지 않는다. 이런 종류의 영화는 스토리가 별게 없는 것이 더 도움이 된다. 어차피 ...,9
3159,연출미가 남달랐던 영화,10
3160,태극기휘날리며보다 별로.(국뽕아님)국내전쟁영화가 아니라 그런지 감정이입도 크게되지 않았다. 지루했다. 잘만든영화지만 재미는 없는 영화.2시간 명상하는듯한 느낌슬픈부분은 마지막 장면 조금 그외에는 평탄하게 물흐르듯이....,2
3161,1917년 1600명의군을 구하기위한 2명의병사의            처절한 싸움,10
3162,스토리로 보는 영화가 아니라그래비티처럼체험을 위한 영화다.내용은 라이언일병구하기와 비슷,8
3163,올 상반기 최고의 영화 예약극장에서 꼭 볼것,10
3164,,10
3165,기생충과 경쟁했다 해서 봤는데 솔직히 많이 실망입니다. 삼십분도 안되서 주인공죽여버리고 그냥 졸라 고생해서 편지 전달해주는 내용 그리고 반전메세지 끝입니다. 원래 무슨 상받은 작품은 믿고 거르는건데 미드웨이 재밌게 ...,2
3166,기생충을 깐 트럼프를 쪼금은 이해한다. 위대한 영화의 시작. 1917.,10
3167,인상깊은 롱테이크,9
3168,촬영기법이 좋았다 하지만 스토리가 너무 억지스럽더라 추격전에서 총알 한방 안맞는 주인공은 너무 억지스럽다 다만 극장에서 한번 몰만한작품은 맞음,9
3169,단순한 스토리지만 시작부터 끝까지 긴장감이 이어지며 전쟁터의 현장감이 생생하게 전해졌다. 거장 로저 디킨스의 촬영은 여전히 놀랍다.,9
3170,,10
3171,"정말 최고의 영화였습니다.기생충이 아니었다면 감독상,작품상도 수상하고 남았을듯해요..극장에서 꼭 보시길!",10
3172,예술과 상업 사이에 길을 잃다,6
3173,주인공을 따라가며 전쟁을 느끼는 영화꼭 영화관에서 봐야하는 영화,10
3174,120분 동안...와....만  했다.,10
3175,기생충보다 여러가지면에서 훨씬 좋은듯 합니다,9
3176,전쟁영화 좋아해서 보러갔는데 감동도 없고 재미도 없고 배우만 버린것같다.. 많이 안타까운 영화였다.그리고..평점 높게 주신분들 댓글 알바 같다.진짜 전쟁 영화 실패하기 어려운대 좀 아닌것같다.스토리 그리고.. 에바였...,4
3177,라이언 일병구하기에 버금가는 전쟁영화... 1차 세계대전이 얼마나 끔찍한 전쟁이었는지 알려주고 보여주는 영화다 한 장면 한 장면 다 몰입되고 타임머신을 타고가서 촬영했나?싶을정도로 놀라운고증이다ㄷㄷ,9
3178,진짜 최고의 영화다 시간 가는줄 모르고 봤음,10
3179,처음에 참호밖으로 나왔을때의 참혹함이 피부에 와닿을 정도로 느껴졌다,10
3180,이건 꼭 영화관에서 봐야할 정도로 몰입감이 엄청남 주연과 촬영감독이 혼을 갈아서 만듬 아이맥스 강추,10
3181,오.졌.다이상!!,10
3182,코로나 때문에 관객 없는 게 아쉬운 ㅜㅜ 또 보러 갈듯요!,10
3183,이걸 아이맥스에서 봤으면 얼마나 더 쩔었을까 그 드넓은 평야를 가로질러 달리는 장면을아이맥스로 다시보고 싶다,10
3184,,10
3185,가치있는 영화.. 이건 극장에서 봐야함,10
3186,전쟁의 참혹함 자연의 아름다움~ 파괴된 자연,10
3187,멀미나서 죽을뻔...,4
3188,"영상과 사운드 스토리 모두 뛰어남. 영화 보는 내내 주인공이 편지 전해주러 가는 여정에 100% 몰입해서 봤는데, 나중에 원컨티뉴어스쇼트 기법으로 촬영과 편집이 이루어졌다는걸 듣고 무릎을 탁 쳤음.. 몰입감 최고, ...",10
